league,season,game,team,player,is_home,position,formation_place,sub_in,sub_out,appearances,fouls_committed,fouls_suffered,own_goals,red_cards,sub_ins,yellow_cards,goals_conceded,shots_faced,goal_assists,offsides,shots_on_target,total_goals,total_shots,saves
GER-Bundesliga,2324,2023-10-28 Werder Bremen-1. FC Union Berlin,Werder Bremen,Michael Zetterer,True,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-10-29 Bayer Leverkusen-SC Freiburg,Bayer Leverkusen,Lukas Hradecky,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-10-29 Bayer Leverkusen-SC Freiburg,SC Freiburg,Noah Atubolu,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-10-29 Eintracht Frankfurt-Borussia Dortmund,Borussia Dortmund,Gregor Kobel,False,Goalkeeper,1,start,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-10-29 Eintracht Frankfurt-Borussia Dortmund,Eintracht Frankfurt,Kevin Trapp,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-11-03 SV Darmstadt 98-VfL Bochum,SV Darmstadt 98,Marcel Schuhen,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-11-03 SV Darmstadt 98-VfL Bochum,VfL Bochum,Manuel Riemann,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-11-04 1. FC Union Berlin-Eintracht Frankfurt,1. FC Union Berlin,Frederik Ronnow,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0
GER-Bundesliga,2324,2023-11-04 1. FC Union Berlin-Eintracht Frankfurt,Eintracht Frankfurt,Kevin Trapp,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-11-04 Borussia Dortmund-Bayern Munich,Bayern Munich,Manuel Neuer,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-11-04 Borussia Dortmund-Bayern Munich,Borussia Dortmund,Gregor Kobel,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,,0.0,0.0,0.0,4.0
GER-Bundesliga,2324,2023-11-04 FC Cologne-FC Augsburg,FC Augsburg,Finn Dahmen,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,0.0,,0.0,0.0,0.0,10.0
GER-Bundesliga,2324,2023-11-04 FC Cologne-FC Augsburg,FC Cologne,Marvin Schwäbe,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-11-04 Mainz-RB Leipzig,Mainz,Robin Zentner,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-11-04 Mainz-RB Leipzig,RB Leipzig,Janis Blaswich,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-11-04 SC Freiburg-Borussia Mönchengladbach,Borussia Mönchengladbach,Moritz Nicolas,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,,0.0,0.0,0.0,5.0
GER-Bundesliga,2324,2023-11-04 SC Freiburg-Borussia Mönchengladbach,SC Freiburg,Noah Atubolu,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-11-04 TSG Hoffenheim-Bayer Leverkusen,Bayer Leverkusen,Lukas Hradecky,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,,0.0,0.0,0.0,5.0
GER-Bundesliga,2324,2023-11-04 TSG Hoffenheim-Bayer Leverkusen,TSG Hoffenheim,Oliver Baumann,True,Goalkeeper,1,start,end,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-11-05 1. FC Heidenheim 1846-VfB Stuttgart,1. FC Heidenheim 1846,Kevin Müller,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-11-05 1. FC Heidenheim 1846-VfB Stuttgart,VfB Stuttgart,Alexander Nübel,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-11-05 VfL Wolfsburg-Werder Bremen,VfL Wolfsburg,Pavao Pervan,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-11-05 VfL Wolfsburg-Werder Bremen,Werder Bremen,Michael Zetterer,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-11-10 Borussia Mönchengladbach-VfL Wolfsburg,Borussia Mönchengladbach,Moritz Nicolas,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,,0.0,0.0,0.0,4.0
GER-Bundesliga,2324,2023-11-10 Borussia Mönchengladbach-VfL Wolfsburg,VfL Wolfsburg,Koen Casteels,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,,0.0,0.0,0.0,4.0
